# Time[Myr] x1[pc] x2[pc] x3[pc]
0.084991 265.000000 -125.000000 15.000000
0.149050 -285.000000 -295.000000 -15.000000
0.162284 105.000000 -375.000000 -35.000000
0.314364 385.000000 25.000000 -75.000000
0.384183 155.000000 -265.000000 35.000000
0.391557 285.000000 445.000000 -65.000000
0.516551 -65.000000 205.000000 65.000000
0.554563 -325.000000 75.000000 35.000000
0.605549 -275.000000 -205.000000 5.000000
0.641596 5.000000 185.000000 45.000000
0.681425 275.000000 5.000000 -35.000000
0.688234 -205.000000 205.000000 -35.000000
0.704060 225.000000 -365.000000 -5.000000
0.720313 -135.000000 305.000000 -65.000000
0.760394 335.000000 -195.000000 55.000000
0.777086 -105.000000 -335.000000 -15.000000
0.789739 125.000000 275.000000 25.000000
0.832536 -105.000000 -315.000000 35.000000
0.870476 -155.000000 -145.000000 -25.000000
0.885156 -425.000000 25.000000 15.000000
0.904605 265.000000 255.000000 25.000000
0.996422 415.000000 -335.000000 95.000000
1.121733 375.000000 -25.000000 -55.000000
1.276651 25.000000 -275.000000 85.000000
1.340961 -215.000000 135.000000 25.000000
1.350833 -185.000000 -385.000000 75.000000
1.363474 25.000000 -65.000000 35.000000
1.497010 -455.000000 235.000000 -15.000000
1.498210 -355.000000 -175.000000 85.000000
1.498928 365.000000 445.000000 -15.000000
1.544925 345.000000 355.000000 -55.000000
1.565535 -205.000000 255.000000 -15.000000
1.566506 -315.000000 225.000000 -35.000000
1.591530 -255.000000 -355.000000 -65.000000
1.702272 -225.000000 -135.000000 85.000000
1.900783 115.000000 -115.000000 35.000000
2.098935 -235.000000 285.000000 35.000000
2.175476 -15.000000 -275.000000 25.000000
2.208692 -295.000000 -275.000000 -25.000000
2.291570 -285.000000 -175.000000 -5.000000
2.297347 -305.000000 305.000000 -85.000000
2.310820 425.000000 -75.000000 -25.000000
2.424533 -155.000000 -245.000000 75.000000
2.432824 75.000000 75.000000 -5.000000
2.521095 165.000000 -285.000000 -35.000000
2.536876 145.000000 15.000000 -25.000000
2.550442 -215.000000 -215.000000 85.000000
2.597780 5.000000 85.000000 -15.000000
2.603648 55.000000 -285.000000 95.000000
2.619876 85.000000 -225.000000 25.000000
2.717659 155.000000 -385.000000 45.000000
2.755916 -285.000000 65.000000 -25.000000
2.778713 405.000000 295.000000 25.000000
2.826116 -115.000000 -165.000000 -95.000000
2.993127 355.000000 -185.000000 55.000000
3.002587 -295.000000 385.000000 95.000000
3.139524 135.000000 -25.000000 -55.000000
3.197559 215.000000 -195.000000 45.000000
3.275154 255.000000 285.000000 -65.000000
3.304538 -375.000000 75.000000 75.000000
3.331236 95.000000 -445.000000 -65.000000
3.360213 -275.000000 305.000000 -85.000000
3.456421 -225.000000 215.000000 65.000000
3.491810 5.000000 5.000000 65.000000
3.505437 -55.000000 85.000000 45.000000
3.624045 -235.000000 -415.000000 -75.000000
3.634576 415.000000 315.000000 5.000000
3.693797 255.000000 315.000000 55.000000
3.748661 225.000000 435.000000 105.000000
3.819109 -115.000000 245.000000 -25.000000
3.832329 -365.000000 35.000000 -55.000000
3.888757 -435.000000 175.000000 75.000000
3.954298 445.000000 -305.000000 25.000000
4.004528 335.000000 115.000000 25.000000
4.096098 -205.000000 15.000000 45.000000
4.098670 -215.000000 365.000000 55.000000
4.151004 415.000000 -5.000000 -65.000000
4.179635 145.000000 385.000000 -65.000000
4.201307 395.000000 -185.000000 55.000000
4.209738 175.000000 -35.000000 -55.000000
4.217394 335.000000 -25.000000 65.000000
4.266031 195.000000 -455.000000 -75.000000
4.347351 -145.000000 145.000000 -65.000000
4.361324 -275.000000 -255.000000 -65.000000
4.367369 255.000000 -5.000000 75.000000
4.446168 -145.000000 185.000000 -25.000000
4.495881 385.000000 -95.000000 45.000000
4.557975 -275.000000 -25.000000 85.000000
4.612693 -185.000000 -255.000000 15.000000
4.678142 15.000000 -185.000000 95.000000
4.697335 365.000000 275.000000 25.000000
4.984352 -5.000000 -95.000000 -25.000000
5.003073 -85.000000 -75.000000 95.000000
5.014355 -435.000000 225.000000 5.000000
5.059774 195.000000 165.000000 105.000000
5.088058 -145.000000 -255.000000 5.000000
5.088402 35.000000 -355.000000 95.000000
5.090468 385.000000 15.000000 65.000000
5.106744 225.000000 35.000000 -45.000000
5.158569 -75.000000 -315.000000 -35.000000
5.200093 225.000000 375.000000 35.000000
5.207936 95.000000 -5.000000 55.000000
5.287107 215.000000 -185.000000 85.000000
5.305995 215.000000 -365.000000 75.000000
5.462488 315.000000 385.000000 25.000000
5.505598 -245.000000 115.000000 55.000000
5.533920 445.000000 -125.000000 -15.000000
5.619363 25.000000 85.000000 45.000000
5.648618 385.000000 365.000000 -55.000000
5.675968 -85.000000 -275.000000 55.000000
5.683203 -285.000000 -245.000000 -75.000000
5.711935 125.000000 -285.000000 -65.000000
5.717089 235.000000 95.000000 -15.000000
5.755629 435.000000 -125.000000 -85.000000
5.757646 -95.000000 5.000000 55.000000
5.803366 -135.000000 -395.000000 -35.000000
5.839232 -175.000000 -305.000000 -25.000000
5.933644 -5.000000 145.000000 -65.000000
6.037540 5.000000 -145.000000 -35.000000
6.145556 5.000000 365.000000 -75.000000
6.188809 165.000000 5.000000 -45.000000
6.297313 -185.000000 -185.000000 75.000000
6.300459 365.000000 55.000000 35.000000
6.308539 295.000000 275.000000 5.000000
6.321225 -75.000000 -305.000000 -95.000000
6.353095 395.000000 -325.000000 5.000000
6.438870 245.000000 185.000000 55.000000
6.448804 -15.000000 -235.000000 -25.000000
6.487586 -445.000000 125.000000 -45.000000
6.538109 -55.000000 -5.000000 -35.000000
6.557129 235.000000 -425.000000 75.000000
6.724058 -85.000000 -365.000000 -55.000000
6.733851 105.000000 -275.000000 -65.000000
6.777045 -105.000000 -315.000000 -55.000000
6.794210 105.000000 155.000000 5.000000
6.873228 345.000000 225.000000 -55.000000
6.903207 -205.000000 -105.000000 45.000000
6.907905 -215.000000 205.000000 -95.000000
6.923977 205.000000 135.000000 25.000000
7.029973 -55.000000 345.000000 -15.000000
7.056119 -75.000000 -175.000000 65.000000
7.093474 -415.000000 345.000000 5.000000
7.105899 -445.000000 395.000000 -45.000000
7.162176 -345.000000 -305.000000 -25.000000
7.184964 -85.000000 -335.000000 35.000000
7.196200 105.000000 425.000000 -5.000000
7.204926 245.000000 -255.000000 25.000000
7.276207 245.000000 -365.000000 25.000000
7.320452 215.000000 195.000000 -15.000000
7.446652 295.000000 -335.000000 105.000000
7.550886 5.000000 -35.000000 -45.000000
7.576835 455.000000 365.000000 35.000000
7.607240 -405.000000 225.000000 5.000000
7.667004 -345.000000 -425.000000 -75.000000
7.691083 -365.000000 45.000000 -45.000000
7.762286 315.000000 -55.000000 -5.000000
7.779353 185.000000 -55.000000 55.000000
7.799503 -325.000000 55.000000 65.000000
7.806456 245.000000 295.000000 -25.000000
7.873733 245.000000 -325.000000 65.000000
7.912542 405.000000 -325.000000 85.000000
7.971393 275.000000 405.000000 -15.000000
7.973499 165.000000 75.000000 -55.000000
8.049391 435.000000 425.000000 5.000000
8.089548 275.000000 -125.000000 85.000000
8.099972 -55.000000 105.000000 85.000000
8.122446 15.000000 95.000000 -5.000000
8.307018 -365.000000 -245.000000 -35.000000
8.525652 -205.000000 265.000000 -55.000000
8.526901 -5.000000 -85.000000 105.000000
8.552806 85.000000 -185.000000 35.000000
8.652794 395.000000 -345.000000 75.000000
8.670770 -205.000000 315.000000 85.000000
8.671055 115.000000 325.000000 -5.000000
8.746512 115.000000 -285.000000 -65.000000
8.761635 -425.000000 -175.000000 35.000000
8.809551 345.000000 245.000000 -35.000000
8.854397 275.000000 5.000000 -15.000000
8.919371 325.000000 -365.000000 -25.000000
8.954260 295.000000 -145.000000 85.000000
8.954348 -115.000000 145.000000 55.000000
8.983082 245.000000 195.000000 45.000000
8.989550 205.000000 195.000000 -35.000000
9.000394 75.000000 95.000000 -35.000000
9.023368 295.000000 85.000000 -95.000000
9.033375 345.000000 295.000000 5.000000
9.105850 -295.000000 245.000000 85.000000
9.125696 345.000000 -45.000000 -15.000000
9.135289 285.000000 -285.000000 25.000000
9.150361 95.000000 -45.000000 -25.000000
9.161025 5.000000 -165.000000 85.000000
9.226775 365.000000 115.000000 15.000000
9.244048 105.000000 15.000000 75.000000
9.308474 295.000000 -245.000000 -25.000000
9.342346 -235.000000 -155.000000 35.000000
9.357398 415.000000 255.000000 -75.000000
9.367058 -385.000000 295.000000 15.000000
9.386431 435.000000 -345.000000 -45.000000
9.457434 -415.000000 -35.000000 15.000000
9.459764 315.000000 195.000000 -45.000000
9.460354 -75.000000 -135.000000 85.000000
9.532738 75.000000 -305.000000 -85.000000
9.580126 -235.000000 -425.000000 -75.000000
9.627082 -365.000000 -315.000000 -35.000000
9.741106 -55.000000 355.000000 95.000000
9.747108 -385.000000 235.000000 65.000000
9.795793 75.000000 95.000000 -5.000000
9.811079 235.000000 -405.000000 -85.000000
9.916417 -175.000000 -365.000000 55.000000
9.948499 -375.000000 425.000000 65.000000
9.957338 -315.000000 415.000000 75.000000
9.961599 245.000000 -315.000000 15.000000
9.978041 35.000000 405.000000 -15.000000
10.045647 -25.000000 135.000000 45.000000
10.117572 -5.000000 105.000000 25.000000
10.233676 -155.000000 -185.000000 -95.000000
10.240516 -425.000000 365.000000 45.000000
10.246660 205.000000 35.000000 -55.000000
10.377225 -215.000000 5.000000 5.000000
10.413607 245.000000 -315.000000 95.000000
10.508222 -225.000000 305.000000 25.000000
10.576512 -195.000000 -25.000000 45.000000
10.754227 -385.000000 325.000000 5.000000
10.879190 315.000000 -145.000000 95.000000
10.913641 335.000000 -165.000000 25.000000
10.940758 375.000000 -195.000000 -35.000000
11.005473 -225.000000 -245.000000 15.000000
11.139429 -95.000000 35.000000 -5.000000
11.166225 445.000000 -335.000000 -45.000000
11.193826 -45.000000 435.000000 -25.000000
11.207906 125.000000 -5.000000 75.000000
11.240429 255.000000 -35.000000 -85.000000
11.283345 25.000000 205.000000 -45.000000
11.358130 -415.000000 335.000000 -85.000000
11.515733 25.000000 55.000000 -45.000000
11.519683 175.000000 -325.000000 95.000000
11.646180 -35.000000 255.000000 35.000000
11.674460 -245.000000 15.000000 -95.000000
11.706831 305.000000 -65.000000 95.000000
11.741789 105.000000 175.000000 -85.000000
11.848234 355.000000 5.000000 65.000000
11.949508 -175.000000 -5.000000 105.000000
12.021789 -355.000000 125.000000 55.000000
12.198865 55.000000 135.000000 -15.000000
12.263954 305.000000 305.000000 85.000000
12.272709 145.000000 -285.000000 -55.000000
12.307463 -115.000000 75.000000 -65.000000
12.321795 -385.000000 -395.000000 105.000000
12.364433 285.000000 -405.000000 85.000000
12.408020 285.000000 -425.000000 5.000000
12.424309 -225.000000 185.000000 5.000000
12.465373 405.000000 -195.000000 -45.000000
12.503886 -445.000000 435.000000 85.000000
12.605501 -285.000000 95.000000 -55.000000
12.661665 -215.000000 185.000000 -45.000000
